training_start,training_end,country,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,selected_d,selected_D,fit_status,convergence_status,optimizer_success,optimizer_status,optimizer_warnflag,optimizer_retry_count,converged,parameters_finite,standard_errors_finite,forecast_valid,stationarity_ok,invertibility_ok,nobs,effective_nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,residual_adequacy_rejected,residual_adequacy_reason,warning_messages,hard_warning_messages,error_message,model_valid,eligible
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q1_P1_D0_Q0_s24,11,1,1,1,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,4,-285527.08972665685,571062.1794533137,571062.1805942801,571096.0390602034,1.009514171234236,3.4678191398348646,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined AR roots fail stationarity threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q1_P0_D0_Q1_s24,12,1,1,1,0,0,1,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,4,-292490.74232895643,584989.4846579129,584989.4857988793,585023.3442648025,1.5469792385897612,1.0215025109732143,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q1_s24,13,1,1,0,0,0,1,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-293781.0792441615,587568.158488323,587568.1591728833,587593.5531934903,1.3279183192869624,1.0183206084661198,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q1_P1_D0_Q0_s24,14,0,1,1,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,3,-289177.7445542879,578361.4891085759,578361.4897931361,578386.8838137431,1.0000141915676628,1.7650081108716391,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],combined AR roots fail stationarity threshold; reconstructed AR component roots fail stationarity threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d0_q0_P0_D1_Q0_s24,1,0,0,0,0,1,0,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,1,-354927.60007787275,709857.2001557455,709857.2002699072,709865.6644012906,inf,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d0_q0_P0_D1_Q0_s24,2,1,0,0,0,1,0,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,2,-296129.3323666268,592262.6647332537,592262.6650757487,592279.5932243437,1.0186488108761036,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d0_q1_P0_D1_Q0_s24,3,0,0,1,0,1,0,24,n,0,1,failed,converged,,,0,0,True,True,True,True,True,False,35064,35040,2,-332493.454516415,664990.90903283,664990.9093753251,665007.8375239201,inf,1.0000020948892854,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],combined MA roots fail invertibility threshold; reconstructed MA component roots fail invertibility threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,3,-288711.0816974983,577428.1633949965,577428.1640800063,577453.5561316317,1.0295434904321648,1.7478981148945925,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p2_d0_q0_P0_D1_Q0_s24,5,2,0,0,0,1,0,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,3,-287492.58792536106,574991.1758507221,574991.1765357319,575016.5685873573,1.1008031813064025,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d0_q2_P0_D1_Q0_s24,6,0,0,2,0,1,0,24,n,0,1,failed,converged,,,0,0,True,True,True,True,True,False,35064,35040,3,-330845.4180076534,661696.8360153068,661696.8367003165,661722.2287519419,inf,1.0000281056330624,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],combined MA roots fail invertibility threshold; reconstructed MA component roots fail invertibility threshold,False,False
