training_start,training_end,country,specification_id,p,d,q,P,D,Q,seasonal_period,burn_in,state_space_loglikelihood_burn,conservative_burn_in,n_effective,acf_threshold,residual_adequacy_rejected,residual_adequacy_reason,warnings,diagnostic,lag,value,threshold,flagged
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,27,0.2544752136478378,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,28,0.05662422980957726,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,29,-0.1221619832740366,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,30,-0.27527196957329975,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,31,-0.3594127118696584,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,32,-0.3636610389147616,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,33,-0.319430652316052,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,34,-0.24886584081860935,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,35,-0.1753269759611563,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,36,-0.15095369096697075,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,37,-0.17417210622153842,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,38,-0.2578294298532638,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,39,-0.3390688176617133,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,40,-0.38569648889822844,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,41,-0.37407542102490127,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,42,-0.2792220697081135,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,43,-0.11495844736512209,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,44,0.06823610725884668,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,45,0.2616370365035797,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,46,0.47452350911502905,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,47,0.6918740214195458,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,48,0.8166762118437615,0.05,True
