training_start,training_end,country,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,selected_d,selected_D,fit_status,convergence_status,optimizer_success,optimizer_status,optimizer_warnflag,optimizer_retry_count,converged,parameters_finite,standard_errors_finite,forecast_valid,stationarity_ok,invertibility_ok,nobs,effective_nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,residual_adequacy_rejected,residual_adequacy_reason,warning_messages,hard_warning_messages,error_message,model_valid,eligible,shortlist_rank
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q1_P0_D0_Q1_s24,12,1,1,1,0,0,1,24,n,1,0,success,converged,True,0,0,0,True,True,True,True,True,True,35064,35063,4,-292490.74232895643,584989.4846579129,584989.4857988793,585023.3442648025,1.5469792385897612,1.0215025109732143,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,True,True,1
2020-01-01,2023-12-31,Germany,sarima_p2_d0_q0_P0_D1_Q0_s24,5,2,0,0,0,1,0,24,n,0,1,success,converged,True,0,0,0,True,True,True,True,True,True,35064,35040,3,-287492.58792536106,574991.1758507221,574991.1765357319,575016.5685873573,1.1008031813064023,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,True,True,2
2020-01-01,2023-12-31,Austria,sarima_p1_d1_q1_P0_D0_Q1_s24,12,1,1,1,0,0,1,24,n,1,0,success,converged,True,0,0,0,True,True,True,True,True,True,35064,35063,4,-228106.6848384796,456221.3696769592,456221.3708179256,456255.2292838489,1.6170420079160466,1.020585200080154,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,True,True,1
2020-01-01,2023-12-31,Austria,sarima_p1_d0_q1_P1_D1_Q0_s24,11,1,0,1,1,1,0,24,n,0,1,success,converged,True,0,0,0,True,True,True,True,True,True,35064,35040,4,-220069.4854310612,440146.9708621224,440146.9720038378,440180.8278443026,1.032294719842978,1.7037374886552397,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,True,True,2
