country,target_date,branch,specification_id,diagnostic,lag,value,threshold,flagged
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,43,-0.0324321708644917,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,44,-0.0575991468334822,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,45,-0.0512663607775109,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,46,-0.0304928331446289,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,47,0.0195828230940525,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,48,0.0720593358962843,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,5,-0.1231030665356388,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,6,-0.0775440211564565,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,7,-0.0811726050921864,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,8,-0.0544237453335947,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p1_d0_q1,residual_acf,9,0.013004984575614,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,ljung_box_pvalue,24,0.5098136733196876,0.01,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,ljung_box_pvalue,48,0.8791690559777142,0.01,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,ljung_box_statistic,24,21.177157169403063,0.01,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,ljung_box_statistic,48,35.09337541709641,0.01,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,1,0.1348444484186903,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,10,-0.0133263991834571,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,11,0.144070298958172,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,12,-0.072948924343833,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,13,0.0095172390418579,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,14,-0.0337955852694179,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,15,0.0672768625040398,0.1941733059080797,False
