country,specification_id,error_message,failure_class,failure_count,analysis_label
Austria,sarima_p1_d0_q1_P0_D1_Q1_s24,combined MA roots fail invertibility threshold,terminal_model_convergence_failure,16,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q1_P0_D1_Q1_s24,combined MA roots fail invertibility threshold,terminal_model_convergence_failure,16,enhanced/post-hoc SARIMA robustness analysis
