country,total_jobs,completed_jobs,failed_jobs,converged_jobs,nonconverged_jobs,optimizer_retry_total,optimizer_retry_jobs,warning_jobs,expected_observations,evaluated_observations,coverage
Germany,366,366,0,366,0,0,0,366,8784,8784,1.0
Austria,366,366,0,366,0,2,2,366,8784,8784,1.0
