country,coefficient,jobs_with_finite_estimate,mean_estimate,median_estimate,std_estimate,minimum_estimate,maximum_estimate,jobs_with_finite_standard_error,mean_standard_error,absolute_t_ge_1_96_jobs
Germany,is_covid_period,366,-467.9809594583129,-467.97819957863044,0.008343557593164887,-467.9999945641701,-467.97416735128456,366,1466.5022602571294,0
Germany,is_post_invasion,366,-2327.183585092974,-2327.1736013523814,0.02900665205480686,-2327.2499799061343,-2327.1607427404547,366,376.9169696893626,366
Austria,is_covid_period,366,-75.99940525289584,-75.99941137282512,5.513518252895473e-05,-75.99956371225737,-75.99924567224599,366,249.4215077982855,0
Austria,is_post_invasion,366,-258.23839586960554,-258.2385916769262,0.001074425969809328,-258.2398975764293,-258.23424687621,366,74.18661294780225,366
