country,base_model_family,base_specification_id,crisis_model_family,crisis_specification_id,base_mae,crisis_mae,mae_change_mwh,mae_change_pct,base_rmse,crisis_rmse,rmse_change_mwh,rmse_change_pct,base_mape,crisis_mape,mape_change_pp,base_coverage,crisis_coverage,crisis_completed_jobs,crisis_failed_jobs,crisis_evaluated_observations
Germany,arima,arima_p2_d1_q2,arima_intervention,arima_p2_d1_q2_crisis,7678.890647407404,7679.0704630447535,0.1798156373497477,0.002341687694308529,8941.320074572499,8941.454174583607,0.13410001110787562,0.0014997786679086889,15.419939748203284,15.420264864969443,0.0003251167661595389,1.0,1.0,366,0,8784
Austria,arima,arima_p2_d1_q2,arima_intervention,arima_p2_d1_q2_crisis,1037.6422688720838,1037.6380169736085,-0.004251898475331473,-0.0004097653500520254,1196.212732550512,1196.2213151336175,0.008582583105408048,0.0007174796649345674,16.0729765341845,16.072968000661174,-8.533523327969306e-06,1.0,1.0,366,0,8784
