country,model_family,specification_id,expected_jobs,completed_jobs,failed_jobs,expected_observations,evaluated_observations,coverage,mae,rmse,mape,diagnostic_note,selected_specification_id,selection_rank,diagnostic_status,intervention_diagnostic_jobs,intervention_acf_flagged_jobs,intervention_ljung_box_significant_jobs,intervention_joint_severe_jobs,intervention_joint_severe_rate
Austria,regression_arima_errors_intervention,reg_arima_h_d_m_hol_crisis,366,366,0,8784,8784,1.0,743.7043827404692,979.0567222331484,11.517287409357834,"Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms.",reg_arima_h_d_m_hol_crisis,1,warning,366,366,366,366,1.0
Germany,regression_arima_errors_intervention,reg_arima_h_d_m_hol_crisis,366,366,0,8784,8784,1.0,4405.495456780948,5810.701637756052,8.58226304201277,"Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms.",reg_arima_h_d_m_hol_crisis,1,warning,366,366,366,366,1.0
