country,specification_id,parameter,jobs,finite_estimate_count,finite_standard_error_count,estimate_mean,estimate_median,estimate_std,estimate_min,estimate_max,standard_error_mean,standard_error_median,absolute_z_mean,normal_approx_p_lt_0_05_jobs,normal_approx_p_lt_0_05_rate
Germany,reg_arima_h_d_m_hol_crisis,is_covid_period,366,366,366,-465.0704190907478,-465.83602647006944,5.929752489393762,-477.8227588823441,-452.84901945880114,1283.744620857876,1284.101025243742,0.36229766545175357,0,0.0
Germany,reg_arima_h_d_m_hol_crisis,is_post_invasion,366,366,366,442.8330828844642,448.78510111554925,11.672241002796769,420.2085196247279,460.2694303990396,1603.98686594065,1597.4481466457319,0.276501806678444,0,0.0
Austria,reg_arima_h_d_m_hol_crisis,is_covid_period,366,366,366,-78.16181798430661,-78.15457911520267,0.6684756555427398,-79.22294017924003,-77.01579388915772,161.71739604880563,161.49529142362977,0.4834998425461979,0,0.0
Austria,reg_arima_h_d_m_hol_crisis,is_post_invasion,366,366,366,41.66251967273088,42.3113568154072,1.3007075762767846,38.27366383670877,43.05411131633512,275.2751287624021,282.5798420143053,0.15200954102664752,0,0.0
