country,calendar_specification_id,intervention_specification_id,evaluated_observations,calendar_coverage,intervention_coverage,calendar_mae,intervention_mae,mae_change,mae_change_percent,calendar_rmse,intervention_rmse,rmse_change,rmse_change_percent,calendar_mape,intervention_mape,mape_change_percentage_points,calendar_diagnostic_jobs,calendar_acf_flagged_jobs,calendar_ljung_box_significant_jobs,calendar_joint_severe_jobs,calendar_joint_severe_rate,intervention_diagnostic_jobs,intervention_acf_flagged_jobs,intervention_ljung_box_significant_jobs,intervention_joint_severe_jobs,intervention_joint_severe_rate
Germany,reg_arima_h_d_m_hol,reg_arima_h_d_m_hol_crisis,8784,1.0,1.0,4405.788612552893,4405.495456780948,-0.2931557719448392,-0.0066538773809888445,5811.031669133293,5810.701637756052,-0.3300313772406298,-0.005679393884457242,8.58284714226466,8.58226304201277,-0.0005841002518902627,366,366,366,366,1.0,366,366,366,366,1.0
Austria,reg_arima_h_d_m_hol,reg_arima_h_d_m_hol_crisis,8784,1.0,1.0,743.7468520962873,743.7043827404692,-0.04246935581807065,-0.005710189656382232,979.1108407685956,979.0567222331483,-0.054118535447287286,-0.005527314497386689,11.517914840739063,11.517287409357834,-0.0006274313812291155,366,366,366,366,1.0,366,366,366,366,1.0
