country,model_family,target_date,specification_id,p,d,q,P,D,Q,seasonal_period,trend,forecast_origin_local,forecast_origin_utc,information_cutoff_utc,timestamp_utc,interval_end_utc,timestamp_local,local_date,actual_load_mwh,forecast_mwh,bridge_used,source_kind,is_target_day,evaluated,analysis_label,reused_authoritative,reuse_source
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-14T19:00:00+00:00,2024-01-14 20:00:00+00:00,2024-01-14T20:00:00+01:00,2024-01-14,7576.25,7118.719366031155,True,sarima_forecast,False,False,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-14T20:00:00+00:00,2024-01-14 21:00:00+00:00,2024-01-14T21:00:00+01:00,2024-01-14,7195.0,6726.754052475747,True,sarima_forecast,False,False,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-14T21:00:00+00:00,2024-01-14 22:00:00+00:00,2024-01-14T22:00:00+01:00,2024-01-14,7223.5,6695.761649192112,True,sarima_forecast,False,False,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-14T22:00:00+00:00,2024-01-14 23:00:00+00:00,2024-01-14T23:00:00+01:00,2024-01-14,6877.5,6314.748281480453,True,sarima_forecast,False,False,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-14T23:00:00+00:00,2024-01-15 00:00:00+00:00,2024-01-15T00:00:00+01:00,2024-01-15,6630.0,6056.719939236098,False,sarima_forecast,True,True,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-15T00:00:00+00:00,2024-01-15 01:00:00+00:00,2024-01-15T01:00:00+01:00,2024-01-15,6394.0,5790.682479942723,False,sarima_forecast,True,True,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-15T01:00:00+00:00,2024-01-15 02:00:00+00:00,2024-01-15T02:00:00+01:00,2024-01-15,6284.0,5713.39163159943,False,sarima_forecast,True,True,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-15T02:00:00+00:00,2024-01-15 03:00:00+00:00,2024-01-15T03:00:00+01:00,2024-01-15,6204.0,5551.102995583109,False,sarima_forecast,True,True,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-15T03:00:00+00:00,2024-01-15 04:00:00+00:00,2024-01-15T04:00:00+01:00,2024-01-15,6428.5,5593.322049447529,False,sarima_forecast,True,True,enhanced/post-hoc SARIMA robustness analysis,False,
Austria,SARIMA,2024-01-15,sarima_p1_d0_q0_P0_D1_Q0_s24,1,0,0,0,1,0,24,n,2024-01-14T08:00:00+01:00,2024-01-14T07:00:00+00:00,2024-01-14T07:00:00+00:00,2024-01-15T04:00:00+00:00,2024-01-15 05:00:00+00:00,2024-01-15T05:00:00+01:00,2024-01-15,7230.75,5768.804149660552,False,sarima_forecast,True,True,enhanced/post-hoc SARIMA robustness analysis,False,
