Country,Season,Weekly seasonal naive,Holt-Winters,ARIMA,SARIMA,Regression with ARIMA errors,SMARD
Germany,Winter,5.5502020017426394,4.736179025195061,14.09585313660832,6.829930608710202,8.477191162575876,3.820189208140845
Germany,Spring,6.049757480381185,5.182136623230578,14.961335882312188,7.648958616631128,9.16867678570749,4.09485662376005
Germany,Summer,4.138748771122215,3.318920315090101,14.728049491098812,7.388576922994018,8.532495404512128,3.5580743797946535
Germany,Autumn,4.214568233302506,4.3770574519151015,15.80095506124903,7.2040028256084625,8.717926594562218,3.3681684849751394
Austria,Winter,6.259135921895545,5.315008915760933,14.091609103942787,8.724828730975194,8.952440776897884,4.463188441167919
Austria,Spring,8.212340550679047,9.025452725614713,15.366745284353119,12.003341957442467,11.47503877461704,5.967551448267637
Austria,Summer,6.003182728960224,7.1065257456609325,15.401307491491783,11.488895445628373,11.18218524080604,5.226407586239883
Austria,Autumn,5.311749833567056,7.5543863905635344,16.883069094877612,11.32478313765444,11.055720234116668,4.439606600343025
