Country,Day type,Weekly seasonal naive,Holt-Winters,ARIMA,SARIMA,Regression with ARIMA errors,SMARD,n
Germany,Weekday,4.575366422465252,4.21925728002751,13.116132998261607,6.332097908678464,7.610163949475556,3.318427089716363,6048
Germany,Weekend,4.317832011697346,3.96968650522326,19.039266465144255,9.173695886089238,11.116985896980749,4.558762890321822,2496
Germany,Public holiday,24.251458958809145,14.503533626856585,16.958100379750004,11.548855177213571,12.315526269488108,4.889418590889336,216
Austria,Weekday,5.987351318818472,6.602311477107013,13.92247561485692,10.038398666519484,8.79807655398415,4.686669085832902,6000
Austria,Weekend,6.018370573319925,7.268046096129676,19.0361858241479,12.716732883720027,14.94980965443667,5.969448323766967,2447
Austria,Public holiday,18.704502660404266,19.8030634933053,16.394488881066383,13.10191914736276,13.223810954033441,4.230245649077864,313
