Country,Hour,Weekly seasonal naive,Holt-Winters,ARIMA,SARIMA,Regression with ARIMA errors,SMARD
Germany,0,4.493362822436753,3.494063319297504,25.668590310217155,3.418284436611429,8.016189681772342,3.19605350647858
Germany,1,4.570810116282518,3.5379064995243934,28.439489245596114,3.579875204008981,8.4476307440501,3.421768237479178
Germany,2,4.641956289194456,3.692589127638732,29.292959994886793,3.88375196546492,8.57851692851404,3.6381896624193533
Germany,3,4.576905677990917,3.8012584834293723,27.884499025993467,4.250342733505187,8.479604226459177,3.6564921722208434
Germany,4,4.6319509424421135,4.236484266775817,24.456605653198523,4.896014007435767,8.323959030228572,3.4193659922059716
Germany,5,4.992535759863963,5.89205642680356,17.832076618211975,6.813391298234645,8.58744504207531,3.0873780889905023
Germany,6,5.671568045928205,6.987985239337222,13.359206188407493,10.190090495789592,10.660193374672442,3.5580987613681354
Germany,7,5.594580521015246,6.519653677112509,15.18648355366051,11.359559013707466,11.778672826190794,3.6456232581169887
Germany,8,5.151774738160204,5.689295551913943,14.952697260249332,10.66761180717731,10.81601267525523,3.349919689997479
Germany,9,4.845093927869866,4.895649343437127,13.229740092470676,9.20116579120832,9.146383680112413,3.4606238377378187
Germany,10,5.155840895876755,4.371440405790672,12.163165075964827,8.43121959907268,8.345930189758151,4.1207504085627935
Germany,11,5.414006299290264,4.14934327340494,11.483215611449118,7.938310289292772,8.257014619572617,4.5721170458617175
Germany,12,5.727599817108663,4.289303493472904,10.884777253932928,8.036793914126763,8.5146871583812,4.900749158167252
Germany,13,6.053689959593271,4.63839825637595,10.679510194368715,8.533897348444729,9.00624619761082,5.145603620732224
Germany,14,6.0153743014198096,4.686464361695555,10.426725382607827,8.672323963100213,9.046052555744817,4.908243114797652
Germany,15,5.834320609154274,4.23206917864574,10.24377936548646,8.537392244215068,8.772183696607522,4.585320234119521
Germany,16,5.49035642758497,3.8353450891240506,9.787799233019728,8.061361572188357,7.926335479432114,4.410595289799307
Germany,17,4.9507399349493095,3.3170801327996005,9.67717148151456,7.269668777484322,7.089746554996605,3.864097674886622
Germany,18,4.46847113210868,3.4831603335532915,9.504617751567462,6.806597636173956,6.764587450489581,3.277974668223832
Germany,19,4.352825404229998,3.814552142348364,9.156714965489376,6.822331721448963,7.2026036233433,3.038979625377234
Germany,20,4.251593599740188,3.8567805069525902,8.360641118791184,6.899858494961108,8.072676958126669,2.9129314147923338
Germany,21,4.203011956696996,3.9690039665566945,8.62498010885912,6.948370377049703,8.765075441763976,2.8342802669216103
Germany,22,4.212370435019024,4.053451908488844,10.602560536261379,6.729005245360583,9.110708207053223,2.9383554136423737
Germany,23,4.390876713082459,4.198223399204611,15.667284806596005,6.542167821866529,9.700919108478145,3.110279620059385
Austria,0,4.408186952899913,5.950235201210038,15.690439013302727,7.3300124167749185,8.046368615474575,4.479052838736312
Austria,1,4.599075311435717,5.977334625961489,22.16527418216999,7.681025511368661,8.506351323596046,4.635979531158007
Austria,2,4.600705919186212,5.750305429790376,25.350464552631298,7.895229023139508,8.749109699561036,4.488164627839437
Austria,3,4.788887980775126,5.635001024314273,27.460730839874863,8.088663676496722,8.99741885141874,4.498828932602808
Austria,4,4.9292894245073615,5.4607619105118355,25.18941251206604,8.261223003485155,8.939460326782392,4.295452390525479
Austria,5,5.417565830711874,5.567856049581888,16.12310472696792,8.996469905919913,9.043764718083695,4.0313859055838845
Austria,6,6.0265683273397945,5.41920534985574,13.819366740948428,11.216153603400105,11.817950095523699,4.132919784650092
Austria,7,6.342186770409279,4.570118632920336,16.527067341504576,12.295873774641272,12.843737864075424,4.519727304028064
Austria,8,6.576424728389783,5.476864067486223,16.39263832535318,11.99634599763705,11.978865962017592,4.83429996328802
Austria,9,7.204134124902033,6.963881791552207,14.894694086925526,11.71635364193068,11.079960733093925,5.3426231275427325
Austria,10,8.067637710804457,8.24385465434993,13.935143622176335,12.15596436045477,11.172445489584154,6.054886244323267
Austria,11,8.823293100665941,9.425373122697817,13.235586031651245,12.69386611116427,11.925724944076974,6.56319437677784
Austria,12,9.397170068883797,10.809626267444512,12.7607312548973,13.010702041542086,12.405384718646008,6.986263677802934
Austria,13,9.795942447755367,11.0711137862158,13.455311372392528,13.41423334667996,13.152110467111902,7.115374391118906
Austria,14,9.968535867868727,11.329759489206047,13.93712855002963,13.636442068075539,13.583093599964357,7.133538210247301
Austria,15,9.587985190537346,10.791854313677518,14.026475226880745,13.395340223249832,13.279229025798863,7.015920341730371
Austria,16,8.741905159775378,9.780428064635743,13.871803248054793,12.76437686666934,12.486827491864345,6.480779625714288
Austria,17,7.399903221707469,8.046199155640116,13.538873946034686,11.55846210442554,10.930149431506702,5.526261811691365
Austria,18,6.049517269869467,6.986235247880193,13.058580839985641,10.68737903734816,9.670509140742228,4.695892458649102
Austria,19,4.925958464231711,6.3754500246119425,11.84805781546834,10.246102572928015,8.912400165167439,4.001883696655936
Austria,20,4.415202673760304,5.958396471208984,10.167972769958787,10.239859951976788,9.124820552247307,3.460824551127008
Austria,21,4.282078168349156,6.0038148991284075,9.631228758397286,10.438289698534325,9.723683263162432,3.3902341123745203
Austria,22,4.156708053454974,5.8881086245137935,9.748507426495152,10.690025976365709,9.645215145112118,3.4164773083170763
Austria,23,4.304918159261611,6.756952023758078,13.713531255847222,11.096092917858398,10.17636735326173,3.588586709204436
