country,target_date,model,mae,rmse,mape,actual_min,actual_max,actual_mean,forecast_min,forecast_max,forecast_mean,forecast_negative_count,forecast_max_over_actual_max,profile_correlation,forecast_std_over_actual_std,actual_peak_local,forecast_peak_local
Austria,2024-02-15,reg_arima_h,775.3525188790387,850.868427738955,10.936773062475059,5751.25,8883.0,7470.270833333333,6724.175530739147,9227.26463015517,8245.623352212373,0,1.0387554463756805,0.9409933171408257,0.8536717169097134,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-02-15,reg_arima_h_d,727.9344733027143,807.8919185006558,10.289502676349285,5751.25,8883.0,7470.270833333333,6676.807117609838,9179.854096111429,8198.205306636048,0,1.0334182253868545,0.9409951611728475,0.8536810189423,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-02-15,reg_arima_h_d_m,725.9130290265402,806.0705005719203,10.261908237517813,5751.25,8883.0,7470.270833333333,6674.789559458405,9177.83371181886,8196.183862359874,0,1.033190781472347,0.9409955679482849,0.8536817604270276,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-02-15,reg_arima_h_d_m_hol,721.5128480515147,802.1077292007498,10.20182019059179,5751.25,8883.0,7470.270833333333,6670.380026567008,9173.436753442464,8191.783681384848,0,1.0326957957269463,0.9409966046940468,0.8536938788848814,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-03-31,reg_arima_h,663.6958282701809,755.3788885449919,12.958059701222755,4463.0,5970.5,5175.097826086957,3992.099959612796,6484.004954202047,5574.195090466621,0,1.0860070269160116,0.6296631753325012,1.8997176511894285,2024-03-31T19:00:00+02:00,2024-03-31T11:00:00+02:00
Austria,2024-03-31,reg_arima_h_d,674.9095826773356,780.1905928893718,13.158290740597058,4463.0,5970.5,5175.097826086957,4037.559713863255,6529.241801559798,5619.4562242763095,0,1.0935837537157354,0.6296557799030944,1.8995460559838682,2024-03-31T19:00:00+02:00,2024-03-31T11:00:00+02:00
Austria,2024-03-31,reg_arima_h_d_m,675.7580083937853,781.7840320558869,13.174038216254194,4463.0,5970.5,5175.097826086957,4040.397755980428,6532.040536603637,5622.254937631702,0,1.0940525142958943,0.6296455645884629,1.8995176524926864,2024-03-31T19:00:00+02:00,2024-03-31T11:00:00+02:00
Austria,2024-03-31,reg_arima_h_d_m_hol,679.5558923348206,788.9996177019167,13.24457805745191,4463.0,5970.5,5175.097826086957,4052.995280087884,6544.546579782697,5634.774891830139,0,1.0961471534683356,0.6296421282318166,1.8994713513282764,2024-03-31T19:00:00+02:00,2024-03-31T11:00:00+02:00
Austria,2024-10-27,reg_arima_h,435.8635495322294,487.2179439562896,8.227001829539127,4483.25,6621.0,5441.94,4025.4782559294495,6463.566104300457,5468.230077401448,0,0.9762220365957494,0.8374903349621555,1.423607914700395,2024-10-27T17:00:00+01:00,2024-10-27T11:00:00+01:00
Austria,2024-10-27,reg_arima_h_d,426.54137258866103,491.86748739730416,8.033844310063415,4483.25,6621.0,5441.94,4071.863843415536,6509.980011563656,5514.676696131982,0,0.9832321419066087,0.8374954271737352,1.4235111307580073,2024-10-27T17:00:00+01:00,2024-10-27T11:00:00+01:00
