country,target_date,model,mae,rmse,mape,actual_min,actual_max,actual_mean,forecast_min,forecast_max,forecast_mean,forecast_negative_count,forecast_max_over_actual_max,profile_correlation,forecast_std_over_actual_std,actual_peak_local,forecast_peak_local
Austria,2024-02-15,reg_arima_h,775.3525188790387,850.868427738955,10.936773062475059,5751.25,8883.0,7470.270833333333,6724.175530739147,9227.26463015517,8245.623352212373,0,1.0387554463756805,0.9409933171408257,0.8536717169097134,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-02-15,reg_arima_h_d,727.9344733027143,807.8919185006558,10.289502676349285,5751.25,8883.0,7470.270833333333,6676.807117609838,9179.854096111429,8198.205306636048,0,1.0334182253868545,0.9409951611728475,0.8536810189423,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-02-15,reg_arima_h_d_m,725.9130290265402,806.0705005719203,10.261908237517813,5751.25,8883.0,7470.270833333333,6674.789559458405,9177.83371181886,8196.183862359874,0,1.033190781472347,0.9409955679482849,0.8536817604270276,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-02-15,reg_arima_h_d_m_hol,721.5128480515147,802.1077292007498,10.20182019059179,5751.25,8883.0,7470.270833333333,6670.380026567008,9173.436753442464,8191.783681384848,0,1.0326957957269463,0.9409966046940468,0.8536938788848814,2024-02-15T08:00:00+01:00,2024-02-15T11:00:00+01:00
Austria,2024-02-15,selected_arima,822.0122165714721,1021.018217930653,11.993180225969928,5751.25,8883.0,7470.270833333333,7535.976505392471,7762.964973475275,7667.985523594839,0,0.8739125265648175,0.04473024199873407,0.053999752382953646,2024-02-15T08:00:00+01:00,2024-02-15T05:00:00+01:00
Austria,2024-02-15,selected_holt_winters,416.27493563782264,527.1359039019894,5.716112750955774,5751.25,8883.0,7470.270833333333,6116.838847161331,8993.34200174354,7886.545768971156,0,1.0124217045754296,0.9491572387075488,1.0194014911113343,2024-02-15T08:00:00+01:00,2024-02-15T10:00:00+01:00
Austria,2024-02-15,selected_sarima,295.3863970428851,302.92392274813847,4.0245168280070684,5751.25,8883.0,7470.270833333333,6027.708427878045,9143.860361301931,7765.657230376219,0,1.0293662457842994,0.9977753819851847,1.0042300156199921,2024-02-15T08:00:00+01:00,2024-02-15T08:00:00+01:00
Austria,2024-02-15,weekly_seasonal_naive,154.34375,238.94639064896265,1.9979416001468548,5751.25,8883.0,7470.270833333333,5738.25,8826.25,7583.65625,0,0.9936113925475628,0.9817963186848399,1.0708433477944623,2024-02-15T08:00:00+01:00,2024-02-15T08:00:00+01:00
Austria,2024-03-31,reg_arima_h,663.6958282701809,755.3788885449919,12.958059701222755,4463.0,5970.5,5175.097826086957,3992.099959612796,6484.004954202047,5574.195090466621,0,1.0860070269160116,0.6296631753325012,1.8997176511894285,2024-03-31T19:00:00+02:00,2024-03-31T11:00:00+02:00
Austria,2024-03-31,reg_arima_h_d,674.9095826773356,780.1905928893718,13.158290740597058,4463.0,5970.5,5175.097826086957,4037.559713863255,6529.241801559798,5619.4562242763095,0,1.0935837537157354,0.6296557799030944,1.8995460559838682,2024-03-31T19:00:00+02:00,2024-03-31T11:00:00+02:00
