country,specification_id,selected_specification_id,selection_rank,mae,rmse,mape,expected_jobs,completed_jobs,failed_jobs,coverage,selection_rule,jobs,acf_flagged_jobs,ljung_box_significant_jobs,joint_severe_jobs,joint_severe_rate,diagnostic_status,diagnostic_note
Germany,reg_arima_h_d_m_hol,reg_arima_h_d_m_hol,1,4405.788612552893,5811.031669133293,8.58284714226466,366,366,0,1.0,aggregate MAE then RMSE then MAPE then frozen specification order,366,366,366,366,1.0,warning,"Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms."
Austria,reg_arima_h_d_m_hol,reg_arima_h_d_m_hol,1,743.7468520962873,979.1108407685956,11.517914840739063,366,366,0,1.0,aggregate MAE then RMSE then MAPE then frozen specification order,366,366,366,366,1.0,warning,"Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms."
