country,model_family,target_date,branch,specification_id,forecast_origin_local,forecast_origin_utc,information_cutoff_utc,timestamp_utc,interval_end_utc,timestamp_local,local_date,actual_load_mwh,forecast_mwh,bridge_used,source_timestamp_utc,source_actual_mwh,source_kind,is_target_day,evaluated,status,mapping_issue_count
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2023-12-31T21:00:00+00:00,2023-12-31 22:00:00+00:00,2023-12-31T22:00:00+01:00,2023-12-31,6091.0,7096.398487405347,True,,,arima_forecast,False,False,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2023-12-31T22:00:00+00:00,2023-12-31 23:00:00+00:00,2023-12-31T23:00:00+01:00,2023-12-31,5804.0,7097.688554659724,True,,,arima_forecast,False,False,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01T00:00:00+01:00,2024-01-01,5648.75,7098.575833177773,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01 01:00:00+00:00,2024-01-01T01:00:00+01:00,2024-01-01,5480.75,7099.186082888336,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T01:00:00+00:00,2024-01-01 02:00:00+00:00,2024-01-01T02:00:00+01:00,2024-01-01,5326.75,7099.605798571369,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T02:00:00+00:00,2024-01-01 03:00:00+00:00,2024-01-01T03:00:00+01:00,2024-01-01,5110.5,7099.894469342586,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T03:00:00+00:00,2024-01-01 04:00:00+00:00,2024-01-01T04:00:00+01:00,2024-01-01,5071.25,7100.093010444392,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T04:00:00+00:00,2024-01-01 05:00:00+00:00,2024-01-01T05:00:00+01:00,2024-01-01,5160.25,7100.22956243731,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T05:00:00+00:00,2024-01-01 06:00:00+00:00,2024-01-01T06:00:00+01:00,2024-01-01,5297.5,7100.323479750149,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T06:00:00+00:00,2024-01-01 07:00:00+00:00,2024-01-01T07:00:00+01:00,2024-01-01,5599.0,7100.388073912874,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T07:00:00+00:00,2024-01-01 08:00:00+00:00,2024-01-01T08:00:00+01:00,2024-01-01,5927.5,7100.432500288926,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T08:00:00+00:00,2024-01-01 09:00:00+00:00,2024-01-01T09:00:00+01:00,2024-01-01,6166.75,7100.463055726229,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T09:00:00+00:00,2024-01-01 10:00:00+00:00,2024-01-01T10:00:00+01:00,2024-01-01,6278.25,7100.484071051621,False,,,arima_forecast,True,True,completed,0
Austria,enhanced_arima,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,2024-01-01T10:00:00+00:00,2024-01-01 11:00:00+00:00,2024-01-01T11:00:00+01:00,2024-01-01,6273.0,7100.4985249079655,False,,,arima_forecast,True,True,completed,0
