country,target_date,branch,specification_id,diagnostic,lag,value,threshold,flagged
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,43,-0.1433005292257382,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,44,-0.1399019564770169,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,45,-0.080519121904232,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,46,0.2159237039753704,0.2089411904164221,True
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,47,0.1099516003461823,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,48,0.5859077258644051,0.2089411904164221,True
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,5,-0.2201881365465014,0.2089411904164221,True
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,6,-0.202815594901888,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,7,-0.0132206511518079,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,8,-0.0438335568121296,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q1,residual_acf,9,0.1555183001636601,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,ljung_box_pvalue,24,2.1502006083990457e-18,0.01,True
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,ljung_box_pvalue,48,3.1644738133250675e-28,0.01,True
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,ljung_box_statistic,24,133.61661974034672,0.01,True
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,ljung_box_statistic,48,238.8488358450096,0.01,True
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,1,0.0741991209185445,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,10,-0.003182039140842,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,11,-0.0171048864366828,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,12,-0.1387877423228006,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,13,-0.0797444397001552,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,14,0.0033814038441163,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,15,0.1257108247854065,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,16,-0.0918465271264789,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,17,-0.0288084522371007,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,18,-0.1304782976931381,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,19,-0.1599128225038247,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,2,0.0102536404365272,0.2089411904164221,False
Austria,2024-01-01,ordinary,enhanced_ordinary_arima_p1_d1_q2,residual_acf,20,-0.1476417179489761,0.2089411904164221,False
