period,series,matched_row_count,apg_mean_mwh,smard_mean_mwh,mean_difference_mwh,mae_mwh,rmse_mwh,mape_percent,correlation
overall,actual,26304,7052.1816871958645,7052.182196624088,-0.0005094282238437844,0.11408150851583608,0.19155440089867196,0.00167937452577986,0.9999999892552527
overall,forecast,26304,6906.328086982969,6906.328086982969,0.0,0.0,0.0,0.0,1.0
2020,actual,8784,6951.009949908926,6951.010900500911,-0.0009505919854258145,0.11349612932606733,0.14177009242949262,0.0017054783284502191,0.9999999948283044
2020,forecast,8784,6697.989640255009,6697.989640255009,0.0,0.0,0.0,0.0,0.9999999999999998
2021,actual,8760,7184.66843607306,7184.668207762557,0.00022831050228840002,0.1122602739726192,0.13982417204030614,0.001611523961724545,0.9999999936427332
2021,forecast,8760,7033.444520547945,7033.444520547945,0.0,0.0,0.0,0.0,1.0
2022,actual,8760,7021.143858447489,7021.144663242009,-0.0008047945205539878,0.11648972602742381,0.26547160155631966,0.0017210497698972262,0.9999999781506813
2022,forecast,8760,6988.120890410959,6988.120890410959,0.0,0.0,0.0,0.0,0.9999999999999998
