country,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,mae,rmse,mape,valid_jobs,invalid_jobs,diagnostics_reviewed,convergence_adequate,residual_rejected_jobs,adequate,inadequacy_reasons,analysis_label,selection_status,selection_rule,frozen_for_year
Austria,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,585.3089384427008,875.5416508227653,8.674555827802488,366,0,True,True,366,True,,enhanced/post-hoc SARIMA robustness analysis,frozen,"2024 MAE, then RMSE, MAPE, specification order",2025
Germany,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,3886.4925410368737,5906.8090276537605,7.416201751018319,366,0,True,True,366,True,,enhanced/post-hoc SARIMA robustness analysis,frozen,"2024 MAE, then RMSE, MAPE, specification order",2025
